Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Association of licensing factors with the pre-replicative complex	4/15	1.1914574383417199E-4	0.007592833311614052	0	0	20.10755441741357	181.67503322349717	ORC5;UBC;E2F2;UBA52
Polo-like kinase 1 (PLK1) pathway	6/46	1.639286157441385E-4	0.009576163303053423	0	0	8.329036827195468	72.5965471005386	CDC20;FZR1;CLSPN;KIZ;SPC24;TPT1
Calcineurin-dependent NFAT signaling role in lymphocytes	6/55	4.430939674435984E-4	0.023892990090612496	0	0	6.796091807827947	52.47757712151441	PRKCH;PIM1;FKBP8;NFATC3;CHP1;BCL2L1
Adaptive immune system	23/606	6.477631999436556E-4	0.032434428797178755	0	0	2.237676631544556	16.428989070521784	UBE2H;GSK3A;HSPA5;CD81;AP2B1;FOXO4;CD3E;CDC20;RNF123;FZR1;CDC34;PSMD4;CDH1;AKT2;KIF4A;UBC;MKRN1;ASB6;UBE2O;ASB7;CTSE;UBA52;AP2M1
Antigen presentation: folding, assembly, and peptide loading of class I MHC proteins	13/255	7.458695050280761E-4	0.034856968201645425	0	0	3.01183537954426	21.68810579138433	UBE2H;HSPA5;CDC20;RNF123;FZR1;CDC34;PSMD4;UBC;MKRN1;ASB6;UBE2O;ASB7;UBA52
Signaling by EGFR in cancer	8/111	8.84312840083613E-4	0.03874395630616329	0	0	4.323403313694576	30.396550235452786	GSK3A;MAP2K2;AKT2;UBC;FOXO4;AP2B1;UBA52;AP2M1
DNA replication pre-Initiation	7/88	0.0010346275429086824	0.0412706978389201	0	0	4.802188552188552	33.0088696203166	ORC5;FZR1;PSMD4;UBC;E2F2;MCM10;UBA52
Interleukin-12-mediated signaling events	6/65	0.0010866467284948494	0.0412706978389201	0	0	5.641330964613243	38.50015856259707	MAP2K3;GZMA;IL2RB;GZMB;CD3E;CCR5
Granzyme A-mediated apoptosis pathway	3/12	0.0011186066461333552	0.0412706978389201	0	0	18.382022471910112	124.91818501371064	GZMA;PRF1;GZMB
EGFR downregulation	4/27	0.00129238969693777	0.04191183171678174	0	0	9.61077770973668	63.92380341681569	UBC;AP2B1;UBA52;AP2M1
DNA replication	11/207	0.0013431507557155518	0.04191183171678174	0	0	3.135922472437251	20.737030922584093	CDC20;ORC5;FZR1;NUP107;PSMD4;CENPK;UBC;E2F2;MCM10;UBA52;SPC24
CD8/T cell receptor downstream pathway	6/68	0.001376718867515176	0.04191183171678174	0	0	5.367540893722014	35.361639824839315	MAP2K2;IL2RB;PRF1;NFATC3;GZMB;CD3E
CTL mediated immune response against target cells	3/13	0.0014349271914447387	0.04191183171678174	0	0	16.54297752808989	108.30093773871762	PRF1;GZMB;CD3E
Downregulation of ERBB2-ERBB3 signaling	3/13	0.0014349271914447387	0.04191183171678174	0	0	16.54297752808989	108.30093773871762	AKT2;UBC;UBA52
NO2-dependent IL-12 pathway in NK cells	3/17	0.0032349004433690712	0.09070660843206875	0	0	11.81400481540931	67.73863430108756	CXCR3;CD3E;CCR5
PIK3C1/AKT pathway	4/35	0.0034450393800102824	0.09288356174566184	0	0	7.127669241253975	40.41972888411253	GSK3A;AKT2;FOXO4;BCL2L1
Phosphorylation of Emi1	2/6	0.0045948548347140615	0.11929604589387248	0	0	27.50280112044818	148.04257610318953	CDC20;FZR1
Circadian rhythm	5/62	0.0050778153741810675	0.12165977897766943	0	0	4.852809991079393	25.6367844777959	RXRA;TBL1XR1;CRY2;UBC;UBA52
Iron uptake and transport	4/39	0.005116430643145884	0.12165977897766943	0	0	6.3117907444668	33.29657849858945	CYBRD1;ATP6V1E2;ABCG2;FTL
Cell cycle checkpoints	7/117	0.005206552595335354	0.12165977897766943	0	0	3.530914256198347	18.56497279298427	CDC20;ORC5;PSMD4;UBC;MCM10;CLSPN;UBA52
Fas signaling pathway in cardiomyocytes	2/7	0.006356699905806029	0.13925145731156333	0	0	22.00112044817927	111.28707772111757	GSK3A;AKT2
Nef-mediated CD8 downregulation	2/7	0.006356699905806029	0.13925145731156333	0	0	22.00112044817927	111.28707772111757	AP2B1;AP2M1
Signaling by ERBB4	6/93	0.006607602601980144	0.14034610590498153	0	0	3.820259841750513	19.17592562956104	GSK3A;MAP2K2;AKT2;UBC;FOXO4;UBA52
Signaling by NGF	10/221	0.006807086449029062	0.14034610590498153	0	0	2.638547508792895	13.165800835610298	GSK3A;MAP2K2;ARHGEF12;AKT2;UBC;FURIN;AP2B1;FOXO4;UBA52;AP2M1
Immune system	29/998	0.007558602713528044	0.14919340356419322	0	0	1.6933671076085937	8.272215048062936	GSK3A;NUP107;CD81;FOXO4;CD3E;CDC20;LGALS3;FZR1;PSMD4;CDH1;AKT2;UBC;CTSE;AP2M1;MAP2K3;UBE2H;MAP2K2;HSPA5;AP2B1;RNF123;CDC34;KIF4A;MKRN1;IL2RB;ASB6;UBE2O;ASB7;UBA52;BCL2L1
Downregulation of ERBB4 signaling	2/8	0.0083754847089039	0.14919340356419322	0	0	18.333333333333332	87.6781826663549	UBC;UBA52
Lysosphingolipid and lysophosphatidic acid (LPA) G-protein coupled receptors	2/8	0.0083754847089039	0.14919340356419322	0	0	18.333333333333332	87.6781826663549	S1PR1;S1PR5
Downstream signaling events Of B cell receptor (BCR)	6/98	0.008473603341012525	0.14919340356419322	0	0	3.611713265180441	17.230759611466876	GSK3A;PSMD4;AKT2;UBC;FOXO4;UBA52
Interleukin-12/STAT4 pathway	4/45	0.00852241040407105	0.14919340356419322	0	0	5.386465132256957	25.666808357481447	CXCR3;PRF1;CD3E;CCR5
Signal transduction of S1P receptor	3/24	0.0087764650364714	0.14919340356419322	0	0	7.873194221508828	37.28494075484365	AKT2;S1PR1;S1PR5
Melanoma	5/71	0.008969065233238874	0.14919340356419322	0	0	4.189137134052388	19.747482772795568	PDGFRB;MAP2K2;CDH1;AKT2;E2F2
Mitochondrial pathway of apoptosis: multidomain Bcl-2 family	5/71	0.008969065233238874	0.14919340356419322	0	0	4.189137134052388	19.747482772795568	BCL2L13;PRKCH;UBC;UBL7;BCL2L1
APC/C- and Cdc20-mediated degradation of Nek2A	3/25	0.009842589527235901	0.14919340356419322	0	0	7.5149387129724206	34.726805631018266	CDC20;UBC;UBA52
Regulation of transcription by NOTCH1 intracellular domain	4/47	0.009921725099917785	0.14919340356419322	0	0	5.135407795610875	23.6897823744451	TBL1XR1;UBC;MAMLD1;UBA52
Degradation of beta-catenin by the destruction complex	5/73	0.010052699586740838	0.14919340356419322	0	0	4.065511797939515	18.701004900568883	CDC20;FZR1;PSMD4;UBC;UBA52
Signaling by ERBB2	6/102	0.010217460788851728	0.14919340356419322	0	0	3.460516997167139	15.86182358119743	GSK3A;MAP2K2;AKT2;UBC;FOXO4;UBA52
HIV infection	9/200	0.010344593702511234	0.14919340356419322	0	0	2.618548990276739	11.970150069470204	NUP107;PSMD4;UBC;TCEA1;AP2B1;CCR5;UBA52;POLR2J;AP2M1
AKT phosphorylation of nuclear targets	2/9	0.0106414695837513	0.14919340356419322	0	0	15.713485394157663	71.38631206853628	AKT2;FOXO4
HIV-induced T cell apoptosis	2/9	0.0106414695837513	0.14919340356419322	0	0	15.713485394157663	71.38631206853628	CCR5;CD3E
Nef-mediated CD4 downregulation	2/9	0.0106414695837513	0.14919340356419322	0	0	15.713485394157663	71.38631206853628	AP2B1;AP2M1
Interleukin-9 regulation of target genes	3/26	0.010980767906170261	0.15093173141618338	0	0	7.187835857352223	32.42871147496452	GZMA;PIM1;GZMB
Translation factors	4/50	0.012286605896906576	0.1628790511612559	0	0	4.799755052051439	21.115301108607934	EEF1A1;EIF4EBP2;EIF3H;EEF2
Apoptosis	10/242	0.01240279983327199	0.1628790511612559	0	0	2.3971198498172117	10.522955914817326	PSMD4;CDH1;AKT2;UBC;PRF1;CHP1;GZMB;CLSPN;UBA52;BCL2L1
T cell receptor regulation of apoptosis	19/603	0.013112510176473585	0.1628790511612559	0	0	1.8235445205479452	7.903585743390663	SLC16A1;HSPA5;GZMB;CD3E;DUSP8;RPL10A;EEF2;RPL6;CDC20;RPL7A;RPS29;PIM1;RPS20;RPL37;CCR5;PFDN4;RPL28;RPS24;BPTF
Fanconi anemia pathway regulation	2/10	0.01314518001399267	0.1628790511612559	0	0	13.74859943977591	59.554809931238104	UBC;UBA52
IRAK2-mediated activation of TAK1 complex	2/10	0.01314518001399267	0.1628790511612559	0	0	13.74859943977591	59.554809931238104	UBC;UBA52
Recycling pathway of cell adhesion molecule L1	3/28	0.013476440752286508	0.1628790511612559	0	0	6.612134831460674	28.47722327432451	KIF4A;AP2B1;AP2M1
TGF-beta receptor activation of SMADs	3/28	0.013476440752286508	0.1628790511612559	0	0	6.612134831460674	28.47722327432451	UBC;FURIN;UBA52
Thyroid cancer	3/29	0.014835220803480235	0.176262538698977	0	0	6.357497839239413	26.769841282991	RXRA;MAP2K2;CDH1
CDC6 association with the ORC-origin complex	2/11	0.01587740031470611	0.17819240413445714	0	0	12.220354808590102	50.627201338115356	ORC5;E2F2
Non-small cell lung cancer	4/54	0.015960291604949443	0.17819240413445714	0	0	4.41487323943662	18.26720651123608	MAP2K2;RXRA;AKT2;E2F2
APC/C-mediated degradation of cell cycle proteins	5/82	0.016042680928401984	0.17819240413445714	0	0	3.58867121578986	14.830192951566996	CDC20;FZR1;PSMD4;UBC;UBA52
Interleukin-2/STAT5 pathway	3/30	0.016268636040806358	0.17819240413445714	0	0	6.121722846441948	25.21241467847705	IL2RB;PRF1;BCL2L1
MicroRNAs in muscle cell differentiation	3/30	0.016268636040806358	0.17819240413445714	0	0	6.121722846441948	25.21241467847705	PRKCH;ID2;EZH2
T cell signal transduction	5/83	0.016827744275852867	0.1814807498057363	0	0	3.5424815297696655	14.47006750633847	MAP2K3;MAP2K2;PRKCH;NFATC3;CD3E
Stathmin and breast cancer resistance to antimicrotubule agents	3/31	0.017777060127583982	0.1888139265066117	0	0	5.902788924558587	23.787332754983534	HSPA5;CD3E;UHMK1
Assembly of HIV virion	2/12	0.018829167426042407	0.1941065642008195	0	0	10.997759103641457	43.68692805790401	UBC;UBA52
D4-GDI signaling pathway	2/12	0.018829167426042407	0.1941065642008195	0	0	10.997759103641457	43.68692805790401	PRF1;GZMB
Acute myeloid leukemia	4/57	0.01912332585566556	0.1942819047075588	0	0	4.16433696518735	16.47764189591093	MAP2K2;AKT2;PIM1;RUNX1T1
HIV life cycle	6/118	0.01975622271051716	0.19784445885817897	0	0	2.963729259409146	11.630523502734288	NUP107;UBC;TCEA1;CCR5;UBA52;POLR2J
Nucleotide excision repair	4/58	0.020257605300295387	0.19961225835487537	0	0	4.087010954616589	15.936175230472008	DDB1;TCEA1;RAD23A;POLR2J
Signaling by NOTCH	6/119	0.020502257634166944	0.19961225835487537	0	0	2.9373511494396953	11.418130929400949	TBL1XR1;UBC;AGO2;FURIN;UBA52;MAMLD1
Caspase cascade in apoptosis	4/59	0.021432461321178688	0.20581034775542822	0	0	4.012496798975672	15.419417795099424	CFL2;PRF1;GZMB;BCL2L1
MAP kinase downregulation by phosphorylation of MEK1 by Cdk5/p35	2/13	0.021991764867443038	0.20832739421726448	0	0	9.997453526865291	38.16115208901917	DPM2;MAP2K2
Signaling by PDGF	6/122	0.022854484463188128	0.2136132481159317	0	0	2.860945589528182	10.810391675591086	PDGFRB;GSK3A;MAP2K2;AKT2;FURIN;FOXO4
Licensing factor removal from origins	4/61	0.023905183090129282	0.21944516646936657	0	0	3.8713120830244625	14.454162986197565	CDC20;ORC5;PSMD4;MCM10
Signal transduction by L1	3/35	0.024564943102150464	0.21944516646936657	0	0	5.163886938202247	19.139610920156535	MAP2K2;AP2B1;AP2M1
fMLP induced chemokine gene expression in HMC-1 cells	3/35	0.024564943102150464	0.21944516646936657	0	0	5.163886938202247	19.139610920156535	MAP2K3;MAP2K2;NFATC3
AKT phosphorylation of cytosolic targets	2/14	0.025356716810297705	0.21944516646936657	0	0	9.163865546218487	33.67456321698362	GSK3A;AKT2
Retrograde neurotrophin signaling	2/14	0.025356716810297705	0.21944516646936657	0	0	9.163865546218487	33.67456321698362	AP2B1;AP2M1
Initiation of the second proteolytic cleavage of Notch receptor by receptor-ligand binding	2/14	0.025356716810297705	0.21944516646936657	0	0	9.163865546218487	33.67456321698362	UBC;UBA52
L1CAM interactions	5/94	0.027180138634908764	0.22038976522492992	0	0	3.1029010347235446	11.186792195803603	MAP2K2;KIF4A;AP2B1;ANK1;AP2M1
Ubiquitin-mediated degradation of phosphorylated Cdc25A	4/64	0.027925915496430448	0.22038976522492992	0	0	3.6771830985915495	13.157697116607247	FZR1;PSMD4;UBC;UBA52
Signaling by FGFR in disease	6/128	0.028088780386140374	0.22038976522492992	0	0	2.7194074211675106	9.714770434969981	GSK3A;MAP2K2;AKT2;UBC;FOXO4;UBA52
HIV factor interactions with host	6/128	0.028088780386140374	0.22038976522492992	0	0	2.7194074211675106	9.714770434969981	NUP107;PSMD4;UBC;AP2B1;UBA52;AP2M1
PI3K/AKT activation	3/37	0.02841178380552758	0.22038976522492992	0	0	4.859633179114343	17.304917072800375	GSK3A;AKT2;FOXO4
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	2/15	0.02891578230363311	0.22038976522492992	0	0	8.458521870286576	29.971653459401274	UBC;UBA52
TRAF6-mediated induction of TAK1 complex	2/15	0.02891578230363311	0.22038976522492992	0	0	8.458521870286576	29.971653459401274	UBC;UBA52
Messenger RNA decay by 5' to 3' exoribonuclease	2/15	0.02891578230363311	0.22038976522492992	0	0	8.458521870286576	29.971653459401274	DDX6;DCP1B
PRC2 complex long-term gene silencing through modification of histone tails	2/15	0.02891578230363311	0.22038976522492992	0	0	8.458521870286576	29.971653459401274	SUZ12;EZH2
Endocytosis	8/201	0.02910890240674857	0.22038976522492992	0	0	2.296680099788908	8.122694293658018	RAB5C;IL2RB;AP2B1;CCR5;AP2M1;RAB11FIP5;RAB11B;EPN2
Glioma	4/65	0.029350188765304853	0.22038976522492992	0	0	3.6167166936042485	12.761426807210892	PDGFRB;MAP2K2;AKT2;E2F2
BMAL1-CLOCK/NPAS2 activates circadian expression	3/38	0.030447957080094217	0.22038976522492992	0	0	4.720545746388443	16.48290130687896	RXRA;TBL1XR1;CRY2
Cyclin D-associated events in G1	3/38	0.030447957080094217	0.22038976522492992	0	0	4.720545746388443	16.48290130687896	UBC;E2F2;UBA52
Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family	5/97	0.030575413921242838	0.22038976522492992	0	0	3.001258904446082	10.467067682412592	PRKCH;PPP2R2B;AKT2;GZMB;CTSE
HIF-1 transcriptional activity in hypoxia	4/66	0.03081678812679386	0.22038976522492992	0	0	3.558200817810086	12.381455973198463	ID2;SLC2A1;FURIN;ABCG2
Adipocytokine signaling pathway	4/67	0.0323258636707834	0.22038976522492992	0	0	3.5015425888665326	12.016900718805042	RXRA;AKT2;SLC2A1;ADIPOR1
GAB1 signalosome	3/39	0.03255892116602271	0.22038976522492992	0	0	4.589185393258427	15.716600986161305	GSK3A;AKT2;FOXO4
Cell death signaling by NRIF in the nucleus	2/16	0.03266094958663105	0.22038976522492992	0	0	7.853941576630652	26.872851068581067	UBC;UBA52
Sprouty regulation of FGF signaling	2/16	0.03266094958663105	0.22038976522492992	0	0	7.853941576630652	26.872851068581067	UBC;UBA52
TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	2/16	0.03266094958663105	0.22038976522492992	0	0	7.853941576630652	26.872851068581067	UBC;UBA52
p75 neurotrophin receptor signaling via NF-kB	2/16	0.03266094958663105	0.22038976522492992	0	0	7.853941576630652	26.872851068581067	UBC;UBA52
GluR2-containing AMPA receptor trafficking	2/16	0.03266094958663105	0.22038976522492992	0	0	7.853941576630652	26.872851068581067	AP2B1;AP2M1
Granule cell survival pathway	5/99	0.032980485285084724	0.22038976522492992	0	0	2.93710181512201	10.020919246538272	MAP2K3;GSK3A;MAP2K2;AKT2;POLR2J
Membrane trafficking	6/133	0.03301130577548879	0.22038976522492992	0	0	2.6116749570609623	8.908175631503275	RAB5C;UBC;DNASE2;UBA52;AP2M1;FTL
Mitotic G1-G1/S phases	6/135	0.03512737114027139	0.23230459593707778	0	0	2.5709203504842217	8.60943289130152	ORC5;PSMD4;UBC;E2F2;MCM10;UBA52
Ubiquitin-mediated proteolysis	6/136	0.03621741805613754	0.23507787090141125	0	0	2.5510132926563522	8.464810863961965	CDC20;DDB1;UBE2H;FZR1;CDC34;UBE2O
NGF signaling via TRKA from the plasma membrane	6/136	0.03621741805613754	0.23507787090141125	0	0	2.5510132926563522	8.464810863961965	GSK3A;MAP2K2;AKT2;FOXO4;AP2B1;AP2M1
Bladder cancer	3/42	0.0393365644320213	0.2529810244664856	0	0	4.23552290406223	13.704461296724203	MAP2K2;CDH1;E2F2
Cyclin A-Cdk2-associated events at S phase entry	4/72	0.040511966898760465	0.25330499416483154	0	0	3.243247721623861	10.39836420553003	FZR1;PSMD4;UBC;UBA52
Human cytomegalovirus and MAP kinase pathways	2/18	0.04067865545909673	0.25330499416483154	0	0	6.871498599439776	22.002894184122948	MAP2K3;MAP2K2
DNA repair	5/105	0.04088800096854184	0.25330499416483154	0	0	2.7600282485875707	8.823585737802588	DDB1;UBC;TCEA1;UBA52;POLR2J
Cell differentiation by G alpha (i/o) pathway inferred from mouse Neuro2A model	3/43	0.04174239339054534	0.25330499416483154	0	0	4.1294241573033705	13.116034085623138	MAP2K3;MAP2K2;AKT2
Type 1 diabetes mellitus	3/43	0.04174239339054534	0.25330499416483154	0	0	4.1294241573033705	13.116034085623138	GAD1;PRF1;GZMB
G2/M checkpoints	3/43	0.04174239339054534	0.25330499416483154	0	0	4.1294241573033705	13.116034085623138	ORC5;MCM10;CLSPN
Signaling by NOTCH1	4/73	0.04227772370511454	0.25330499416483154	0	0	3.196080832823025	10.110785600005343	TBL1XR1;UBC;UBA52;MAMLD1
Chronic myeloid leukemia	4/73	0.04227772370511454	0.25330499416483154	0	0	3.196080832823025	10.110785600005343	MAP2K2;AKT2;E2F2;BCL2L1
Seven transmembrane receptor signaling through beta-arrestin	4/74	0.044086350809862576	0.2603332514938209	0	0	3.150261569416499	9.833872423537612	MAP2K3;MAP2K2;PPP2R2B;AKT2
PI3K events in ERBB2 signaling	3/44	0.04422057067293822	0.2603332514938209	0	0	4.028500959166895	12.563142892669386	GSK3A;AKT2;FOXO4
Signaling by constitutively active EGFR	2/19	0.044936267376251546	0.2603332514938209	0	0	6.466963255890591	20.063818647084283	UBC;UBA52
Tob role in T-cell activation	2/19	0.044936267376251546	0.2603332514938209	0	0	6.466963255890591	20.063818647084283	TGFBR3;CD3E
VEGF signaling pathway	4/76	0.04783206220577179	0.2748383246413608	0	0	3.0624413145539906	9.3100026076537	MAP2K2;AKT2;NFATC3;CHP1
Huntington's disease	7/184	0.048719145599919834	0.2776595208580797	0	0	2.186825885978428	6.607895024982345	UQCRB;NDUFS5;UQCRFS1;AP2B1;SDHB;POLR2J;AP2M1
Cell differentiation pathway	2/20	0.04935011728690453	0.2785474965784978	0	0	6.107376283846872	18.37596620696329	ID2;EZH2
TGF-beta regulation of extracellular matrix	16/565	0.04966966772084483	0.2785474965784978	0	0	1.6222020424094696	4.870435886082766	GABARAPL2;GSK3A;SLC2A1;MICAL2;LTBP2;HSPA13;TGFBR3;LGALS3;NFIA;ID2;PIM1;S1PR1;E2F2;HECA;PCDH1;BCL2L1
S phase	5/112	0.05144860674364445	0.28563588650048893	0	0	2.57854163366598	7.650976270352067	ORC5;FZR1;PSMD4;UBC;UBA52
Signaling by SCF-KIT	4/78	0.051748584287535086	0.28563588650048893	0	0	2.979368100494861	8.822976167057305	GSK3A;MAP2K2;AKT2;FOXO4
Unfolded protein response	4/79	0.053770648452767064	0.2863120793663172	0	0	2.939492957746479	8.59221883527514	GSK3A;HSPA5;PARN;HYOU1
APC/C activator regulation between G1/S and early anaphase	2/21	0.05391325888210252	0.2863120793663172	0	0	5.785640572018281	16.896262307727202	CDC20;FZR1
S1P/S1P1 pathway	2/21	0.05391325888210252	0.2863120793663172	0	0	5.785640572018281	16.896262307727202	PDGFRB;S1PR1
E-cadherin keratinocyte pathway	2/21	0.05391325888210252	0.2863120793663172	0	0	5.785640572018281	16.896262307727202	CDH1;AKT2
Inactivation of APC/C via direct inhibition of the APC/C complex	2/21	0.05391325888210252	0.2863120793663172	0	0	5.785640572018281	16.896262307727202	CDC20;FZR1
Activation of chaperones by IRE1 alpha	3/48	0.05484298694770582	0.28875768210872005	0	0	3.6696629213483147	10.6540624861701	GSK3A;HSPA5;HYOU1
Signaling by the B cell receptor (BCR)	6/151	0.05519761683675962	0.28875768210872005	0	0	2.2853570381947836	6.620303398139119	GSK3A;PSMD4;AKT2;UBC;FOXO4;UBA52
Wnt signaling pathway	8/231	0.05754328646172005	0.294327088107028	0	0	1.9846434913699487	5.6665894358493585	GSK3A;PRKCH;TBL1XR1;PPP2R2B;AKT2;SOX13;NFATC3;CHP1
Deadenylation-dependent mRNA decay	3/49	0.0576721818900447	0.294327088107028	0	0	3.5897044455300438	10.241356202378288	DDX6;PARN;DCP1B
FoxO family signaling	3/49	0.0576721818900447	0.294327088107028	0	0	3.5897044455300438	10.241356202378288	USP7;ZFAND5;FOXO4
Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins	4/81	0.057941709213651736	0.294327088107028	0	0	2.862849826230108	8.154306082586547	UQCRB;NDUFS5;UQCRFS1;SDHB
Fanconi anemia pathway	2/22	0.05861894365280447	0.2956250323785319	0	0	5.496078431372549	15.590711199239168	UBC;UBA52
Tricarboxylic acid (TCA) cycle and respiratory electron transport	5/117	0.05988106671753128	0.2998330554927816	0	0	2.462797619047619	6.933747869538702	SLC16A1;UQCRB;NDUFS5;UQCRFS1;SDHB
Prolactin regulation of apoptosis	5/118	0.06165650379395095	0.30653339829474907	0	0	2.4408779561021947	6.8007169458795635	EEF1A1;HSPA5;CXCR3;TMC5;ABCG2
Downregulation of SMAD2/3-SMAD4 transcriptional activity	2/23	0.06346061608943761	0.31328092872320956	0	0	5.234093637454982	14.432153686307474	UBC;UBA52
Small cell lung cancer	4/84	0.06451304650807038	0.31624926994515623	0	0	2.755070422535211	7.551338920815672	RXRA;AKT2;E2F2;BCL2L1
Cell cycle	13/453	0.06628237805584918	0.3195920680133993	0	0	1.6396019442984762	4.449602925350855	NUP107;MCM10;CDC20;ORC5;FZR1;PSMD4;CDH1;CENPK;UBC;E2F2;CLSPN;UBA52;SPC24
Endometrial cancer	3/52	0.0665626846361716	0.3195920680133993	0	0	3.369410685622564	9.129792760014992	MAP2K2;CDH1;AKT2
Interleukin-2 receptor beta chain in T cell activation	3/52	0.0665626846361716	0.3195920680133993	0	0	3.369410685622564	9.129792760014992	MAP2K2;IL2RB;BCL2L1
Toll receptor cascades	6/159	0.06738020846158914	0.32131650429642167	0	0	2.1649725045825696	5.83980537941571	MAP2K3;UBE2H;MAP2K2;UBC;UBE2O;UBA52
